iter	Passed	Remaining
0	66	13254
1	135	13389
2	205	13484
3	274	13446
4	344	13431
5	420	13581
6	498	13753
7	576	13838
8	649	13784
9	714	13570
10	790	13574
11	869	13626
12	944	13590
13	1022	13589
14	1088	13428
15	1159	13332
16	1247	13433
17	1316	13313
18	1380	13155
19	1453	13082
20	1528	13025
21	1591	12880
22	1659	12767
23	1733	12708
24	1804	12630
25	1876	12556
26	1946	12473
27	2020	12412
28	2091	12330
29	2164	12263
30	2233	12177
31	2305	12102
32	2380	12044
33	2456	11993
34	2529	11923
35	2634	12002
36	2704	11913
37	2775	11832
38	2845	11748
39	2906	11626
40	2969	11514
41	3031	11405
42	3095	11301
43	3160	11204
44	3232	11134
45	3307	11074
46	3381	11009
47	3455	10942
48	3526	10868
49	3605	10816
50	3688	10777
51	3758	10698
52	3830	10625
53	3906	10560
54	3972	10472
55	4042	10395
56	4114	10323
57	4186	10250
58	4255	10169
59	4327	10098
60	4396	10018
61	4464	9936
62	4540	9873
63	4612	9801
64	4654	9667
65	4727	9597
66	4794	9517
67	4869	9451
68	4939	9378
69	5014	9311
70	5088	9244
71	5155	9166
72	5222	9085
73	5290	9007
74	5310	8851
75	5382	8782
76	5458	8718
77	5527	8645
78	5598	8574
79	5668	8502
80	5742	8436
81	5811	8362
82	5851	8248
83	5924	8181
84	5946	8045
85	6017	7977
86	6086	7905
87	6159	7839
88	6229	7769
89	6293	7691
90	6361	7619
91	6433	7552
92	6504	7483
93	6575	7414
94	6598	7293
95	6620	7172
96	6693	7107
97	6764	7040
98	6839	6977
99	6905	6905
100	6976	6838
101	7042	6766
102	7111	6697
103	7185	6632
104	7219	6531
105	7292	6466
106	7355	6392
107	7425	6325
108	7501	6263
109	7553	6179
110	7598	6092
111	7668	6025
112	7735	5955
113	7805	5888
114	7828	5786
115	7870	5699
116	7931	5626
117	7956	5529
118	8026	5463
119	8095	5397
120	8111	5295
121	8191	5237
122	8261	5171
123	8332	5107
124	8402	5041
125	8470	4974
126	8541	4909
127	8623	4850
128	8689	4782
129	8758	4716
130	8792	4630
131	8890	4580
132	8961	4514
133	9030	4447
134	9094	4379
135	9162	4311
136	9233	4246
137	9303	4180
138	9374	4114
139	9447	4049
140	9513	3980
141	9578	3912
142	9647	3845
143	9717	3779
144	9788	3712
145	9861	3647
146	9932	3581
147	10002	3514
148	10071	3447
149	10156	3385
150	10227	3318
151	10299	3252
152	10367	3184
153	10436	3117
154	10501	3048
155	10568	2980
156	10634	2912
157	10705	2845
158	10722	2764
159	10793	2698
160	10842	2626
161	10915	2560
162	10988	2494
163	11063	2428
164	11134	2361
165	11184	2290
166	11250	2223
167	11279	2148
168	11347	2081
169	11414	2014
170	11453	1942
171	11524	1876
172	11594	1809
173	11664	1742
174	11735	1676
175	11803	1609
176	11891	1545
177	11966	1479
178	11991	1406
179	12062	1340
180	12135	1273
181	12206	1207
182	12276	1140
183	12347	1073
184	12418	1006
185	12508	941
186	12578	874
187	12601	804
188	12672	737
189	12742	670
190	12808	603
191	12878	536
192	12949	469
193	13018	402
194	13034	334
195	13102	267
196	13176	200
197	13245	133
198	13317	66
199	13385	0
